cloverID crystalID crystalside
1			256			0
1			257			1
1			258			2
1			259			3
2			260			0
2			261			1
2			262			2
2			263			3
3			264			0
3			308			1
3			309			2
3			267			3
4			268			0
4			269			1
4			270			2
4			271			3
5			272			0
5			273			1
5			274			2
5			275			3
6			276			0
6			277			1
6			278			2
6			279			3
7			310			0
7			311			1
7			312			2
7			283			3
8			284			0
8			285			1
8			286			2
8			287			3
9			288			0
9			289			1
9			290			2
9			291			3
10			292			0
10			293			1
10			294			2
10			295			3
11			296			0
11			297			1
11			298			2
11			299			3
12			340			0
12			341			1
12			302			2
12			303			3
13			304			0
13			305			1
13			306			2
13			307			3
